nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV,9,ufotable,2021,4.636,4953,1,action;adventure;fantasy;shounen;demons;historical;martial arts;orphans;siblings;swordplay;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,2017-2023
Attack on Titan The Final Season: Part II,TV,4,MAPPA,2022,4.617,2980,2,action;drama;fantasy;horror;shounen;dark fantasy;military;war;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-part-ii,2017-2023
Fruits Basket the Final Season,TV,13,"TMS Entertainment, 8 Pan",2021,4.604,6796,3,drama;fantasy;romance;shoujo;animal transformation;contemporary fantasy;curse;dysfunctional families;mental illness;orphans;based on a manga,https://www.anime-planet.com/anime/fruits-basket-the-final-season,2017-2023
Mo Dao Zu Shi 3,Web,12,B.C MAY PICTURES,2021,4.587,1182,4,fantasy;ancient china;chinese animation;cultivation;xianxia;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi-3,2017-2023
Fullmetal Alchemist: Brotherhood,TV,64,Bones,2009,4.579,105588,5,action;adventure;drama;fantasy;mystery;shounen;conspiracy;death of a loved one;military;siblings;based on a manga,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,2002-2011
Attack on Titan 3rd Season: Part II,TV,10,WIT Studio,2019,4.57,43399,6,action;fantasy;horror;shounen;dark fantasy;isolated society;military;outside world;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,2017-2023
Jujutsu Kaisen,TV,24,MAPPA,2020,4.564,45248,7,action;horror;shounen;body sharing;curse;exorcists;monsters;school life;supernatural;based on a manga,https://www.anime-planet.com/anime/jujutsu-kaisen,2017-2023
Attack on Titan The Final Season,TV,16,MAPPA,2020,4.552,29784,8,action;drama;fantasy;horror;shounen;dark fantasy;military;war;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-the-final-season,2017-2023
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,1,ufotable,2020,4.542,23542,9,action;drama;fantasy;shounen;demons;historical;martial arts;orphans;siblings;swordplay;trains;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-mugen-train,2017-2023
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,10,Production I.G,2016,4.532,33793,10,shounen;sports;animeism;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,2012-2016
your name.,Movie,1,CoMix Wave Films,2016,4.515,71408,11,drama;romance;body swapping;gender bender;opposites attract;school life;supernatural;original work,https://www.anime-planet.com/anime/your-name,2012-2016
Haikyuu!! Second Season,TV,25,Production I.G,2015,4.512,42868,12,shounen;sports;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-second-season,2012-2016
Demon Slayer: Kimetsu no Yaiba,TV,26,ufotable,2019,4.512,69929,13,action;adventure;comedy;drama;fantasy;shounen;death of a loved one;demons;historical;martial arts;orphans;siblings;swordplay;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba,2017-2023
Hunter x Hunter (2011),TV,148,MADHOUSE,2011,4.511,75338,14,action;adventure;drama;fantasy;shounen;monsters;superpowers;based on a manga,https://www.anime-planet.com/anime/hunter-x-hunter-2011,2002-2011
A Silent Voice,Movie,1,Kyoto Animation,2016,4.509,64284,15,drama;shounen;disability;melancholy;mental illness;school life;based on a manga,https://www.anime-planet.com/anime/a-silent-voice,2012-2016
Violet Evergarden Movie,Movie,1,Kyoto Animation,2020,4.504,5473,16,drama;melancholy;war;based on a light novel,https://www.anime-planet.com/anime/violet-evergarden-movie,2017-2023
Heaven Official's Blessing Special,Web,1,Haoliners Animation League,2021,4.501,2131,17,bl;romance;shounen-ai;afterlife;ancient china;chinese animation;demon king;ghosts;gods;interspecies relationship;non-human protagonists;opposites attract;royalty;supernatural;xianxia;based on a web novel,https://www.anime-planet.com/anime/heaven-officials-blessing-special,2017-2023
Haikyuu!! To the Top: Part II,TV,12,Production I.G,2020,4.499,15351,18,shounen;sports;animeism;school club;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii,2017-2023
That Time I Got Reincarnated as a Slime Season 2,TV,12,8-Bit,2021,4.484,17306,19,action;adventure;fantasy;shounen;cheats;demons;isekai;kingdom building;magic;management;modern knowledge;monsters;person in a strange world;political;reincarnation;rpg;slimes;based on a manga,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime-season-2,2017-2023
Given,TV,11,Lerche,2019,4.483,20630,20,bl;drama;romance;shounen-ai;death of a loved one;music;noitamina;based on a manga,https://www.anime-planet.com/anime/given,2017-2023
Code Geass: Lelouch of the Rebellion R2,TV,25,Sunrise,2008,4.472,73340,21,mecha;sci fi;conspiracy;mind games;overpowered main characters;political;psychological;real robot;rebellions;rivalries;royalty;secret identity;superpowers;terrorism;original work,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-r2,2002-2011
Gintama: The Very Final,Movie,1,BN Pictures,2021,4.468,742,22,action;comedy;drama;sci fi;shounen;aliens;feudal japan;gag;parody;samurai;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-the-very-final,2017-2023
Mo Dao Zu Shi 2,Web,8,B.C MAY PICTURES,2019,4.468,3908,23,action;fantasy;mystery;ancient china;chinese animation;cultivation;historical;martial arts;overpowered main characters;supernatural;swordplay;war;xianxia;zombies;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi-2,2017-2023
Link Click,Web,11,Studio LAN,2021,4.464,2093,24,drama;fantasy;chinese animation;contemporary fantasy;superpowers;time travel;urban fantasy;original work,https://www.anime-planet.com/anime/link-click,2017-2023
Mob Psycho 100 II,TV,13,Bones,2019,4.462,26702,25,action;comedy;exorcists;psychic powers;psychological;school life;supernatural;superpowers;based on a manga,https://www.anime-planet.com/anime/mob-psycho-100-ii,2017-2023
Haikyuu!! To the Top,TV,13,Production I.G,2020,4.459,20691,26,shounen;sports;animeism;school club;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-to-the-top,2017-2023
Fruits Basket 2nd Season,TV,25,"8 Pan, TMS Entertainment",2020,4.457,10999,27,comedy;drama;fantasy;romance;shoujo;animal transformation;contemporary fantasy;curse;dysfunctional families;love triangle;mental illness;orphans;based on a manga,https://www.anime-planet.com/anime/fruits-basket-2nd-season,2017-2023
Heaven Official's Blessing,Web,11,Haoliners Animation League,2020,4.456,4370,28,action;bl;comedy;drama;romance;shounen-ai;afterlife;ancient china;chinese animation;demon king;demons;ghosts;gods;heaven;historical;interspecies relationship;non-human protagonists;opposites attract;religion;royalty;supernatural;xianxia;based on a web novel,https://www.anime-planet.com/anime/heaven-officials-blessing,2017-2023
Spirited Away,Movie,1,Studio Ghibli,2001,4.454,104026,29,adventure;fantasy;curse;family friendly;japanese mythology;magic;person in a strange world;youkai;original work,https://www.anime-planet.com/anime/spirited-away,1907-2001
The Promised Neverland,TV,12,CloverWorks,2019,4.453,49815,30,fantasy;horror;mystery;sci fi;shounen;dark fantasy;isolated society;mind games;noitamina;orphans;outside world;psychological;thriller;based on a manga,https://www.anime-planet.com/anime/the-promised-neverland,2017-2023
That Time I Got Reincarnated as a Slime Season 2: Part II,TV,12,8-Bit,2021,4.452,11055,31,action;adventure;fantasy;shounen;cheats;demons;isekai;kingdom building;magic;management;modern knowledge;monsters;person in a strange world;political;reincarnation;rpg;slimes;based on a manga,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime-season-2-part-ii,2017-2023
Gintama: Shirogane no Tamashii-hen 2,TV,14,BN Pictures,2018,4.448,3340,32,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen-2,2017-2023
Ranking of Kings,TV,16,WIT Studio,2021,4.447,1995,33,action;adventure;fantasy;coming of age;disability;royalty;based on a manga,https://www.anime-planet.com/anime/ranking-of-kings,2017-2023
Clannad After Story,TV,24,Kyoto Animation,2008,4.445,45831,34,drama;romance;adult couples;coming of age;family life;illness;based on a visual novel,https://www.anime-planet.com/anime/clannad-after-story,2002-2011
Banana Fish,TV,24,MAPPA,2018,4.445,18338,35,action;drama;shoujo;america;criminals;gangs;noitamina;based on a manga,https://www.anime-planet.com/anime/banana-fish,2017-2023
Gintama': Enchousen,TV,13,Sunrise,2012,4.445,9254,36,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;parody;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-enchousen,2012-2016
Mo Dao Zu Shi,Web,15,B.C MAY PICTURES,2018,4.444,6090,37,action;adventure;mystery;ancient china;chinese animation;cultivation;historical;rebellions;supernatural;swordplay;war;xianxia;zombies;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi,2017-2023
Gintama: Shirogane no Tamashii-hen,TV,12,BN Pictures,2018,4.444,3748,38,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen,2017-2023
Mushoku Tensei: Jobless Reincarnation - Part II,TV,12,Studio Bind,2021,4.443,7324,39,action;adventure;drama;fantasy;romance;demons;isekai;magic;neet;person in a strange world;reincarnation;based on a light novel,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation-part-ii,2017-2023
Douluo Dalu 2,Web,167,Sparkly Key Animation Studio,2018,4.443,1175,40,action;fantasy;chinese animation;cultivation;xianxia;based on a web novel;cg animation,https://www.anime-planet.com/anime/douluo-dalu-2,2017-2023
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,1,Sunrise,2013,4.443,7375,41,action;comedy;drama;sci fi;shounen;aliens;feudal japan;samurai;swordplay;time travel;based on a manga,https://www.anime-planet.com/anime/gintama-kanketsu-hen-yorozuya-yo-eien-nare,2012-2016
Gintama.,TV,12,BN Pictures,2017,4.443,6231,42,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-2017,2017-2023
Attack on Titan 3rd Season,TV,12,WIT Studio,2018,4.442,46577,43,action;fantasy;horror;dark fantasy;isolated society;military;outside world;political;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-3rd-season,2017-2023
